nivel,aula_funcional,denominacion,cantidad,marca,modelo,tipo,color,serie,largo,ancho,alto,documento_alta,fecha_compra,numero_documento,estado,procedencia,observaciones,usuario_responsable,ubicacion,fecha_registro
"Inicial,""3 Años A"",""MESAS DE MADERA "",""5"",""MADERA "",""CIRCULAR "",""Mobiliario"",""MADERA "","""",""1.00"",""1.00"",""0.59"","""","""","""",""Regular"",""Fe y Alegría"",""LAS MESAS ESTAN DESCASCARADAS 1 MESA PEQUEÑA DE COMEDOR DE COCINA CUADRADA"",""ROCIO DAZA PALMA "","""",""2025-11-30"""
"Inicial,""3 Años A"",""MESA DE MADERA "",""1"",""MADERA "",""CIRCULAR "",""Mobiliario"",""ANARANJADO"","""",""1.00"",""1.00"",""0.59"","""","""","""",""Regular"",""Fe y Alegría"",""DESGASTADO EL COLOR, PATAS NO MUY FIRMES "",""ROCIO DAZA PALMA "","""",""2025-12-01"""
"Inicial,""3 Años A"",""SILLAS"",""31"",""MADERA "",""PERSONAL"",""Mobiliario"",""MADERA "","""",""0.26"",""0.26"",""0.52"","""","""","""",""Bueno"",""Fe y Alegría"",""4 SILLAS DE PLASTICO CON PATAS METALICAS"",""ROCIO DAZA PALMA "","""",""2025-12-01"""
"Inicial,""3 Años A"",""SILLA"",""1"",""MADERA "","""",""Mobiliario"",""MADERA "","""",""0.41"",""0.41"",""0.85"","""","""","""",""Bueno"",""Fe y Alegría"",""SILLA DOCENTE"",""ROCIO DAZA PALMA "","""",""2025-12-01"""
"Inicial,""3 Años A"",""MESA "",""1"",""MADERA "",""PERSONAL"",""Mobiliario"",""MADERA "","""",""0.85"",""0.75"",""0.75"","""","""","""",""Regular"",""Fe y Alegría"",""MESA DE COMPUTADORA"",""ROCIO DAZA PALMA "","""",""2025-12-01"""
"Inicial,""3 Años A"",""ESTANTE "",""1"",""MADERA "",""ARCHIVADOR"",""Mobiliario"",""MADERA "","""",""1.56"","""",""1.07"","""","""","""",""Bueno"",""Fe y Alegría"","""",""ROCIO DAZA PALMA "","""",""2025-12-01"""
"Inicial,""3 Años A"",""ESTANTES"",""3"",""MADERA "","""",""Mobiliario"",""MADERA "","""",""1.00"","""",""0.80"","""","""","""",""Bueno"",""Fe y Alegría"",""1 ARCHIVADOR ES DE COLOR MARRON"",""ROCIO DAZA PALMA "","""",""2025-12-01"""
"Inicial,""3 Años A"",""ALACENA"",""1"",""MADERA "","""",""Mobiliario"","""","""",""0.50"",""0.20"",""0.40"","""","""","""",""Bueno"",""Fe y Alegría"","""",""ROCIO DAZA PALMA "","""",""2025-12-01"""
"Inicial,""3 Años A"",""LAVADORA"",""1"",""MADERA "","""",""Mobiliario"",""BLANCO CON ANARANJADO"","""",""0.20"",""0.50"",""0.40"","""","""","""",""Bueno"",""UGEL"","""",""ROCIO DAZA PALMA "","""",""2025-12-01"""
"Inicial,""3 Años A"",""LAVATORIO"",""1"",""MADERA "","""",""Mobiliario"",""GRIS"","""",""0.33"",""0.33"",""0.54"","""","""","""",""Bueno"",""Fe y Alegría"","""",""ROCIO DAZA PALMA "","""",""2025-12-01"""
"Inicial,""3 Años A"",""COCINA "",""1"",""MADERA "","""",""Mobiliario"",""BLANCO CON MORADO"","""",""0.37"",""0.54"",""0.54"","""","""","""",""Bueno"",""Fe y Alegría"","""",""ROCIO DAZA PALMA "","""",""2025-12-01"""
"Inicial,""3 Años A"",""MICROONDAS"",""1"",""MADERA "","""",""Mobiliario"",""BLANCO CON MORADO"","""",""0.23"",""0.38"",""025"","""","""","""",""Bueno"",""Fe y Alegría"","""",""ROCIO DAZA PALMA "","""",""2025-12-01"""
"Inicial,""3 Años A"",""REFRIGERADORA"",""1"",""MADERA "","""",""Mobiliario"",""BLANCO"","""",""0.23"",""0.40"",""0.80"","""","""","""",""Bueno"",""Fe y Alegría"","""",""ROCIO DAZA PALMA "","""",""2025-12-01"""
"Inicial,""3 Años A"",""MESA DE NOCHE"",""1"",""MADERA "","""",""Mobiliario"",""MADERA "","""",""0.36"",""0.44"",""0.65"","""","""","""",""Regular"",""Fe y Alegría"","""",""ROCIO DAZA PALMA "","""",""2025-12-01"""
"Inicial,""3 Años A"",""CUNA"",""1"",""MADERA "","""",""Mobiliario"",""ROSADO CON GRIS"","""",""0.36"",""0.44"",""0.65"","""","""","""",""Bueno"",""Fe y Alegría"","""","""","""",""2025-12-01"""
"Inicial,""3 Años A"",""CAMA PEQUEÑA"",""1"",""MADERA "","""",""Mobiliario"",""MADERA "","""",""0.40"",""0.69"",""0.39"","""","""","""",""Bueno"",""Fe y Alegría"","""",""ROCIO DAZA PALMA "","""",""2025-12-01"""
"Inicial,""3 Años A"",""PIZARRA"",""1"",""ACRILICA"","""",""Mobiliario"",""BLANCO"","""","""",""1.24"",""1.24"","""","""","""",""Bueno"",""Fe y Alegría"","""",""ROCIO DAZA PALMA "","""",""2025-12-01"""
"Inicial,""3 Años A"",""ESPEJO"",""1"","""","""",""Mobiliario"","""","""","""",""0.52"",""101"","""","""","""",""Bueno"",""Fe y Alegría"","""",""ROCIO DAZA PALMA "","""",""2025-12-01"""
"Inicial,""3 Años A"",""LIBRERO"",""1"",""MADERA "","""",""Mobiliario"",""MADERA "","""",""0.16"",""0.81"",""0.25"","""","""","""",""Bueno"",""Fe y Alegría"","""",""ROCIO DAZA PALMA "","""",""2025-12-01"""
"Inicial,""3 Años A"",""PROYECTOR"",""1"","""","""",""Equipo"",""BLANCO"",""RS-232C"","""","""","""","""","""","""",""Bueno"",""Fe y Alegría"",""CON CARGADOR"",""ROCIO DAZA PALMA "","""",""2025-12-01"""
"Inicial,""3 Años A"",""ECRAM"",""1"","""","""",""Equipo"",""BLANCO"","""","""",""2.00"",""1.95"","""","""","""",""Bueno"",""Fe y Alegría"","""",""ROCIO DAZA PALMA "","""",""2025-12-01"""
"Inicial,""3 Años A"",""WOOFER"",""1"",""CAFINI"","""",""Equipo"",""NEGRO"",""CN-S1604FM-BT"","""","""","""","""","""","""",""Bueno"",""Fe y Alegría"",""SIN CARGADOR"",""ROCIO DAZA PALMA "","""",""2025-12-01"""
"Inicial,""3 Años A"",""WOOFER"",""1"","""","""",""Mobiliario"","""",""KTS-1631"","""","""","""","""","""","""",""Bueno"",""Fe y Alegría"",""ENTREGADO EL AÑO 2024"",""ROCIO DAZA PALMA "","""",""2025-12-01"""
